timestamp,username,action,details
2025-12-09 04:31:04,user123,LOGIN_FAILED,Failed login attempt
2025-12-09 04:31:17,user,LOGIN_SUCCESS,User logged in successfully
2025-12-09 04:33:02,John Doe,LOGOUT,User logged out
2025-12-09 04:33:11,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-09 04:38:21,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-09 04:49:52,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 02:40:03,user,LOGIN_SUCCESS,User logged in successfully
2025-12-10 02:40:15,John Doe,LOGOUT,User logged out
2025-12-10 02:40:34,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 02:50:08,user,LOGIN_SUCCESS,User logged in successfully
2025-12-10 02:57:09,John Doe,LOGOUT,User logged out
2025-12-10 02:57:23,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 03:11:52,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 03:15:30,Admin User,LOGOUT,User logged out
2025-12-10 03:23:05,user,LOGIN_SUCCESS,User logged in successfully
2025-12-10 03:23:44,John Doe,LOGOUT,User logged out
2025-12-10 03:23:53,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 03:28:09,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 03:29:14,Admin User,LOGOUT,User logged out
2025-12-10 03:36:52,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 03:37:23,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 03:42:38,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 03:54:39,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:01:23,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:06:21,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:10:23,Admin User,LOGOUT,User logged out
2025-12-10 04:10:31,user,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:11:57,John Doe,LOGOUT,User logged out
2025-12-10 04:12:03,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:12:42,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:17:39,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:26:27,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:37:04,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:37:38,Admin User,LOGOUT,User logged out
2025-12-10 04:37:45,user,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:37:52,John Doe,LOGOUT,User logged out
2025-12-10 04:37:59,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:40:39,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:41:32,Admin User,LOGOUT,User logged out
2025-12-10 04:41:39,user,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:42:18,John Doe,LOGOUT,User logged out
2025-12-10 04:42:26,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:44:05,Admin User,LOGOUT,User logged out
2025-12-10 04:44:12,user,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:47:16,John Doe,LOGOUT,User logged out
2025-12-10 04:47:25,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:52:38,user,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:52:58,User,LOGOUT,User logged out
2025-12-10 04:53:06,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:55:52,user,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:56:06,User,LOGOUT,User logged out
2025-12-10 04:56:13,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:58:58,user,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:59:07,User,LOGOUT,User logged out
2025-12-10 04:59:15,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 04:59:22,Admin User,LOGOUT,User logged out
2025-12-10 18:04:37,jin,REGISTRATION,New user registered
2025-12-10 18:05:02,jin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 18:09:21,jin,LOGOUT,User logged out
2025-12-10 18:09:31,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 18:26:15,admin,LOGIN_FAILED,Failed login attempt
2025-12-10 18:26:27,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 19:17:48,user,LOGIN_SUCCESS,User logged in successfully
2025-12-10 19:17:57,User,LOGOUT,User logged out
2025-12-10 19:18:07,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 19:21:50,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 19:25:06,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-10 19:25:27,Admin User,DELETE_USER,Deleted user: user111
2025-12-10 19:25:32,Admin User,DELETE_USER,Deleted user: jin
2025-12-10 19:25:53,Admin User,DELETE_DOCUMENT,Deleted document: Blue_Banana_Article
2025-12-12 15:40:27,user,LOGIN_SUCCESS,User logged in successfully
2025-12-12 15:45:00,user,LOGIN_SUCCESS,User logged in successfully
2025-12-12 15:45:05,User,LOGOUT,User logged out
2025-12-12 15:45:18,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-12 16:07:32,admin,LOGIN_SUCCESS,User logged in successfully
2025-12-12 16:11:19,Admin User,LOGOUT,User logged out
2025-12-12 16:11:28,user,LOGIN_SUCCESS,User logged in successfully
2025-12-12 16:18:01,User,LOGOUT,User logged out
2025-12-12 16:19:27,user,LOGIN_SUCCESS,User logged in successfully
2025-12-12 16:24:57,user,LOGIN_SUCCESS,User logged in successfully
